point,value
1,-202
2,-318
3,-185
4,67
5,92
6,-113
7,-228
8,-144
9,-59
10,-75
11,-108
12,-130
13,-139
14,-83
15,-40
16,-129
17,-236
18,-187
19,-39
20,20
21,-100
22,-282
23,-273
24,-32
25,125
26,-50
27,-327
28,-320
29,-70
30,70
31,-33
32,-189
33,-220
34,-157
35,-116
36,-132
37,-174
38,-189
39,-147
40,-104
41,-131
42,-167
43,-150
44,-117
45,-94
46,-66
47,-38
48,-18
49,-15
50,-30
51,-55
52,-86
53,-110
54,-126
55,-133
56,-128
57,-116
58,-95
59,-66
60,-38
61,-17
62,-9
63,-18
64,-38
65,-60
66,-76
67,-79
68,-86
69,-78
70,-8
71,49
72,9
73,-46
74,-36
75,-10
76,-4
77,0
78,3
79,5
80,3
81,0
82,-3
83,-21
84,-22
85,57
86,136
87,57
88,-105
89,-111
90,54
91,148
92,74
93,-6
94,2
95,29
96,34
97,37
98,40
99,40
100,40
101,39
102,40
103,40
104,41
105,41
106,41
107,42
108,41
109,41
110,41
111,41
112,40
113,40
114,39
115,38
116,37
117,37
118,36
119,35
120,34
121,32
122,31
123,30
124,29
125,28
126,26
127,25
128,23
129,22
130,20
131,18
132,17
133,15
134,14
135,12
136,11
137,10
138,9
139,8
140,7
141,7
142,7
143,7
144,8
145,9
146,10
147,12
148,14
149,16
150,17
151,19
152,21
153,22
154,22
155,22
156,22
157,20
158,18
159,16
160,14
161,12
162,10
163,10
164,11
165,13
166,16
167,19
168,20
169,20
170,17
171,11
172,2
173,-8
174,-20
175,-30
176,-35
177,-33
178,-23
179,-1
180,32
181,79
182,137
183,205
184,278
185,353
186,427
187,494
188,552
189,595
190,621
191,628
192,615
193,583
194,534
195,470
196,395
197,311
198,220
199,131
200,50
201,-11
202,-48
203,-65
204,-64
205,-52
206,-36
207,-15
208,7
209,29
210,49
211,65
212,74
213,76
214,73
215,65
216,55
217,45
218,37
219,31
220,28
221,27
222,29
223,32
224,36
225,40
226,43
227,44
228,45
229,44
230,43
231,40
232,37
233,33
234,30
235,28
236,25
237,23
238,22
239,21
240,21
241,21
242,21
243,22
244,23
245,24
246,26
247,28
248,31
249,33
250,35
251,38
252,40
253,43
254,45
255,47
256,49
257,51
258,53
259,55
260,57
261,59
262,60
263,62
264,64
265,65
266,67
267,68
268,70
269,72
270,74
271,76
272,78
273,80
274,82
275,85
276,88
277,91
278,94
279,97
280,101
281,105
282,110
283,115
284,120
285,125
286,131
287,137
288,143
289,149
290,156
291,163
292,169
293,176
294,183
295,191
296,198
297,205
298,212
299,219
300,226
301,234
302,241
303,249
304,258
305,266
306,275
307,285
308,295
309,305
310,315
311,326
312,338
313,349
314,361
315,372
316,383
317,394
318,404
319,413
320,421
321,427
322,432
323,435
324,436
325,436
326,433
327,429
328,422
329,414
330,403
331,390
332,376
333,360
334,342
335,323
336,303
337,283
338,262
339,240
340,219
341,198
342,178
343,158
344,141
345,124
346,110
347,96
348,86
349,79
350,72
351,65
352,50
353,26
354,-1
355,-29
356,-44
357,-39
358,-35
359,-34
360,31
361,152
362,144
363,-48
364,-178
365,-102
366,-4
367,-8
368,-36
369,-39
370,-44
371,-49
372,-51
373,-51
374,-51
375,-52
376,-55
377,-59
378,-64
379,-82
380,-90
381,-50
382,-16
383,-57
384,-120
385,-119
386,-49
387,15
388,-8
389,-102
390,-139
391,-75
392,-18
393,-27
394,-50
395,-53
396,-52
397,-51
398,-48
399,-45
400,-44
401,-43
402,-42
403,-42
404,-42
405,-41
406,-41
407,-41
408,-41
409,-41
410,-41
411,-42
412,-42
413,-42
414,-43
415,-43
416,-44
417,-45
418,-45
419,-46
420,-47
421,-48
422,-49
423,-49
424,-50
425,-51
426,-52
427,-53
428,-53
429,-54
430,-55
431,-55
432,-56
433,-57
434,-57
435,-58
436,-58
437,-59
438,-59
439,-59
440,-60
441,-60
442,-60
443,-60
444,-60
445,-61
446,-61
447,-61
448,-61
449,-61
450,-61
451,-61
452,-61
453,-61
454,-61
455,-62
456,-62
457,-62
458,-62
459,-62
460,-63
461,-63
462,-63
463,-64
464,-64
465,-64
466,-65
467,-65
468,-66
469,-67
470,-67
471,-68
472,-69
473,-69
474,-70
475,-71
476,-72
477,-73
478,-74
479,-75
480,-75
481,-76
482,-77
483,-78
484,-79
485,-80
486,-81
487,-82
488,-83
489,-84
490,-85
491,-85
492,-86
493,-87
494,-88
495,-88
496,-89
497,-90
498,-90
499,-91
500,-91
501,-92
502,-92
503,-93
504,-93
505,-93
506,-93
507,-94
508,-94
509,-94
510,-94
511,-94
512,-94
513,-94
514,-94
515,-93
516,-93
517,-93
518,-93
519,-92
520,-92
521,-91
522,-91
523,-90
524,-90
525,-89
526,-89
527,-88
528,-88
529,-87
530,-87
531,-86
532,-85
533,-85
534,-84
535,-84
536,-83
537,-82
538,-82
539,-81
540,-81
541,-80
542,-80
543,-79
544,-79
545,-79
546,-78
547,-78
548,-78
549,-77
550,-77
551,-77
552,-77
