point,value
1,-122
2,-149
3,-160
4,-154
5,-142
6,-131
7,-129
8,-138
9,-151
10,-162
11,-171
12,-174
13,-175
14,-177
15,-178
16,-179
17,-179
18,-179
19,-179
20,-179
21,-179
22,-179
23,-179
24,-180
25,-180
26,-181
27,-182
28,-183
29,-185
30,-187
31,-189
32,-191
33,-193
34,-194
35,-195
36,-195
37,-194
38,-192
39,-189
40,-185
41,-182
42,-180
43,-179
44,-179
45,-181
46,-184
47,-187
48,-189
49,-188
50,-183
51,-172
52,-153
53,-126
54,-93
55,-54
56,-12
57,29
58,68
59,104
60,137
61,163
62,178
63,175
64,147
65,94
66,22
67,-52
68,-117
69,-162
70,-185
71,-194
72,-196
73,-200
74,-204
75,-206
76,-203
77,-193
78,-180
79,-167
80,-157
81,-150
82,-145
83,-142
84,-141
85,-140
86,-139
87,-137
88,-134
89,-130
90,-125
91,-120
92,-115
93,-110
94,-105
95,-102
96,-99
97,-97
98,-95
99,-94
100,-94
101,-93
102,-93
103,-92
104,-92
105,-91
106,-90
107,-88
108,-86
109,-84
110,-81
111,-77
112,-73
113,-68
114,-63
115,-58
116,-52
117,-46
118,-40
119,-33
120,-27
121,-21
122,-15
123,-10
124,-5
125,0
126,3
127,7
128,10
129,12
130,13
131,15
132,15
133,16
134,16
135,16
136,15
137,15
138,15
139,15
140,16
141,17
142,19
143,22
144,26
145,30
146,36
147,42
148,49
149,58
150,67
151,77
152,87
153,98
154,109
155,121
156,133
157,145
158,157
159,169
160,181
161,193
162,204
163,215
164,226
165,236
166,246
167,255
168,264
169,273
170,282
171,290
172,298
173,305
174,312
175,319
176,326
177,332
178,338
179,344
180,349
181,354
182,359
183,363
184,366
185,369
186,372
187,373
188,375
189,375
190,375
191,374
192,373
193,371
194,368
195,365
196,361
197,357
198,352
199,347
200,341
201,335
202,328
203,321
204,314
205,306
206,299
207,291
208,283
209,274
210,266
211,258
212,249
213,241
214,233
215,225
216,217
217,210
218,202
219,195
220,188
221,182
222,176
223,170
224,165
225,160
226,156
227,152
228,148
229,145
230,142
231,140
232,139
233,137
234,136
235,136
236,136
237,136
238,137
239,138
240,140
241,141
242,143
243,145
244,148
245,150
246,153
247,156
248,159
249,161
250,164
251,167
252,170
253,173
254,175
255,177
256,180
257,182
258,183
259,185
260,186
261,187
262,187
263,188
264,188
265,187
266,187
267,186
268,184
269,183
270,181
271,178
272,176
273,173
274,170
275,166
276,162
277,158
278,154
279,150
280,145
281,140
282,136
283,130
284,125
285,120
286,115
287,110
288,104
289,99
290,94
291,89
292,83
293,78
294,73
295,69
296,64
297,59
298,55
299,51
300,46
301,42
302,39
303,35
304,32
305,28
306,25
307,22
308,20
309,17
310,15
311,12
312,10
313,9
314,7
315,5
316,4
317,3
318,2
319,1
320,0
321,0
322,-1
323,-1
324,-2
325,-2
326,-2
327,-3
328,-3
329,-3
330,-3
331,-3
332,-3
333,-3
334,-3
335,-3
336,-3
337,-3
338,-3
339,-3
340,-4
341,-4
342,-4
343,-4
344,-4
345,-4
346,-5
347,-5
348,-6
349,-6
350,-7
351,-7
352,-8
353,-9
354,-10
355,-11
356,-11
357,-12
358,-14
359,-15
360,-16
361,-17
362,-18
363,-19
364,-21
365,-22
366,-23
367,-25
368,-26
369,-27
370,-28
371,-29
372,-30
373,-32
374,-32
375,-33
376,-34
377,-35
378,-35
379,-36
380,-36
381,-36
382,-36
383,-36
384,-36
385,-35
386,-35
387,-34
388,-33
389,-32
390,-30
391,-29
392,-28
393,-26
394,-24
395,-22
396,-21
397,-19
398,-17
399,-15
400,-13
401,-11
402,-9
403,-7
404,-5
405,-3
406,-1
407,0
408,1
409,2
410,3
411,4
412,5
413,6
414,6
415,6
416,6
417,5
418,5
419,4
420,2
421,1
422,0
423,-2
424,-4
425,-7
426,-9
427,-12
428,-14
429,-17
430,-20
431,-22
432,-25
433,-28
434,-30
435,-33
436,-35
437,-38
438,-40
439,-43
440,-46
441,-49
442,-52
443,-56
444,-60
445,-64
446,-69
447,-74
448,-79
449,-85
450,-92
451,-99
452,-106
453,-112
454,-118
455,-123
456,-126
457,-128
458,-127
459,-125
460,-122
461,-119
462,-116
463,-114
464,-115
465,-117
466,-121
467,-126
468,-131
469,-132
470,-129
471,-117
472,-96
473,-69
474,-36
475,1
476,47
477,106
478,177
479,252
480,312
481,341
482,331
483,285
484,220
485,152
486,92
487,40
488,-6
489,-52
490,-96
491,-135
492,-164
493,-183
494,-192
495,-195
496,-193
497,-190
498,-186
499,-184
500,-184
501,-187
502,-193
503,-199
504,-207
505,-215
506,-221
507,-226
508,-228
509,-229
510,-228
511,-225
512,-222
513,-218
514,-214
515,-211
516,-208
517,-207
518,-206
519,-205
520,-205
521,-206
522,-207
523,-208
524,-209
525,-211
526,-213
527,-214
528,-216
529,-218
530,-219
531,-220
532,-221
533,-222
534,-222
535,-222
536,-221
537,-220
538,-219
539,-217
540,-216
541,-214
542,-212
543,-210
544,-207
545,-205
546,-202
547,-200
548,-198
549,-195
550,-193
551,-190
552,-188
553,-185
554,-183
555,-180
556,-178
557,-175
558,-172
559,-169
560,-166
561,-163
562,-159
563,-156
564,-152
565,-147
566,-143
567,-138
568,-133
569,-127
570,-122
571,-116
572,-110
573,-104
574,-98
575,-91
576,-85
577,-78
578,-72
579,-66
580,-60
581,-55
582,-49
583,-44
584,-38
585,-33
586,-28
587,-23
588,-17
589,-12
590,-7
591,-1
592,4
593,11
594,18
595,27
596,36
597,45
598,56
599,68
600,80
601,93
602,106
603,120
604,134
605,149
606,163
607,178
608,192
609,206
610,219
611,231
612,242
613,251
614,259
615,265
616,269
617,272
618,273
619,273
620,271
621,267
622,262
623,256
624,248
625,240
626,231
627,221
628,211
629,202
630,193
631,184
632,176
633,168
634,162
635,156
636,151
637,147
638,144
639,142
640,141
641,141
642,142
643,143
644,145
645,147
646,149
647,151
648,153
649,155
650,157
651,159
652,160
653,161
654,162
655,162
656,162
657,162
658,161
659,160
660,159
661,158
662,157
663,156
664,154
665,153
666,152
667,151
668,150
669,149
670,148
671,147
672,147
673,146
674,145
675,144
676,144
677,143
678,142
679,141
680,140
681,139
682,137
683,136
684,134
685,132
686,130
687,128
688,126
689,124
690,122
691,120
692,118
693,115
694,113
695,111
696,109
697,107
698,104
699,102
700,100
701,99
702,97
703,95
704,93
705,92
706,91
707,89
708,88
709,87
710,86
711,85
712,85
713,84
714,84
715,83
716,83
717,83
718,83
719,83
720,83
721,83
722,83
723,83
724,83
725,84
726,84
727,84
728,84
729,84
730,84
731,84
732,84
733,84
734,84
735,84
736,84
737,83
738,83
739,82
740,81
741,81
742,80
743,79
744,78
745,76
746,75
747,74
748,72
749,71
750,69
751,68
752,66
753,64
754,62
755,60
756,59
757,57
758,55
759,53
760,51
761,49
762,47
763,45
764,43
765,41
766,40
767,38
768,36
769,34
770,32
771,31
772,29
773,27
774,26
775,24
776,23
777,21
778,19
779,18
780,16
781,15
782,13
783,12
784,10
785,9
786,7
787,6
788,4
789,3
790,1
791,0
792,-1
793,-2
794,-4
795,-5
796,-7
797,-8
798,-10
799,-12
800,-13
801,-15
802,-16
803,-17
804,-19
805,-20
806,-21
807,-22
808,-23
809,-24
810,-25
811,-26
812,-26
813,-27
814,-27
815,-27
816,-28
817,-28
818,-28
819,-28
820,-28
821,-28
822,-28
823,-28
824,-28
825,-28
826,-28
827,-28
828,-28
829,-27
830,-27
831,-27
832,-27
833,-28
834,-29
835,-30
836,-32
837,-34
838,-35
839,-36
840,-35
841,-31
842,-26
843,-18
844,-10
845,-2
846,5
847,11
848,14
849,13
850,7
851,-2
852,-15
853,-27
854,-40
855,-52
856,-62
857,-67
858,-68
859,-65
860,-60
861,-53
862,-46
863,-39
864,-34
865,-30
866,-29
867,-30
868,-33
869,-36
870,-39
871,-43
872,-47
873,-51
874,-54
875,-58
876,-62
877,-67
878,-72
879,-77
880,-81
881,-85
882,-90
883,-97
884,-103
885,-105
886,-99
887,-84
888,-69
889,-60
890,-66
891,-87
892,-113
893,-138
894,-150
895,-146
896,-132
897,-108
898,-76
899,-39
900,6
901,58
902,111
903,159
904,202
905,235
906,265
907,289
908,301
909,297
910,264
911,195
912,99
913,-11
914,-115
915,-186
916,-218
917,-215
918,-188
919,-159
920,-138
921,-127
922,-122
923,-117
924,-111
925,-106
926,-108
927,-115
928,-125
929,-134
930,-134
931,-130
932,-123
933,-116
934,-115
935,-116
936,-117
937,-117
938,-115
939,-112
940,-111
941,-110
942,-110
943,-111
944,-112
945,-113
946,-115
947,-116
948,-118
949,-120
950,-122
951,-123
952,-125
953,-126
954,-126
955,-127
956,-127
957,-126
958,-126
959,-125
960,-124
961,-122
962,-121
963,-119
964,-117
965,-115
966,-113
967,-111
968,-109
969,-106
970,-104
971,-102
972,-99
973,-97
974,-94
975,-91
976,-89
977,-86
978,-83
979,-79
980,-76
981,-73
982,-69
983,-65
984,-61
985,-57
986,-53
987,-48
988,-43
989,-38
990,-33
991,-27
992,-22
993,-16
994,-10
995,-4
996,2
997,8
998,15
999,22
1000,29
1001,36
1002,43
1003,50
1004,57
1005,64
1006,72
1007,79
1008,86
1009,93
1010,100
1011,107
1012,113
1013,120
1014,126
1015,132
1016,138
1017,143
1018,148
1019,153
1020,157
1021,161
1022,164
1023,167
1024,170
1025,172
1026,174
1027,175
1028,175
1029,175
1030,175
1031,174
1032,172
1033,170
1034,168
1035,165
1036,161
1037,157
1038,153
1039,148
1040,142
1041,137
1042,130
1043,124
1044,117
1045,110
1046,102
1047,94
1048,86
1049,78
1050,70
1051,61
1052,53
1053,44
1054,35
1055,26
1056,17
1057,9
1058,0
1059,-8
1060,-16
1061,-25
1062,-33
1063,-41
1064,-49
1065,-56
1066,-64
1067,-71
1068,-78
1069,-84
1070,-90
1071,-96
1072,-102
1073,-107
1074,-112
1075,-117
1076,-121
1077,-125
1078,-128
1079,-131
1080,-134
1081,-137
1082,-139
1083,-141
1084,-143
1085,-144
1086,-145
1087,-146
1088,-146
1089,-146
1090,-146
1091,-146
1092,-145
1093,-145
1094,-144
1095,-143
1096,-141
1097,-140
1098,-138
1099,-136
1100,-135
1101,-133
1102,-131
1103,-128
1104,-126
1105,-124
1106,-122
1107,-119
1108,-117
1109,-115
1110,-113
1111,-110
1112,-108
1113,-106
1114,-104
1115,-101
1116,-99
1117,-97
1118,-96
1119,-94
1120,-92
1121,-91
1122,-89
1123,-88
1124,-87
1125,-85
1126,-84
1127,-84
1128,-83
1129,-82
1130,-82
1131,-81
1132,-81
1133,-81
1134,-81
1135,-81
1136,-81
1137,-81
1138,-82
1139,-82
1140,-83
1141,-83
1142,-84
1143,-84
1144,-85
